personal;persönlich
simpático/-a;sympathisch
alegre ;fröhlich
optimista ;optimistisch 
demasiado ;zu (sehr)
responsable;"verantwortungsvoll; verantwortlich"
el hermano mayor;großer / älterer Bruder 
mayor;älter, älteste/r/s, größer, größte/r/s
el cómic ;Comic 
la música electrónica;elektronische Musik, Elektro-Musik 
solo ;nur 
el defecto;"Fehler; Defekt "
compartir piso;in einer Wohngemeinschaft leben 
no... nada;überhaupt nicht 
ni ;nicht einmal 
el sándwich;(Sandwich), belegtes Brot
alto/-a;groß
rubio/-a;blond
largo/-a ;lang
las gafas ;Brille
la lentilla;(Kontakt)linse
normal;normal
divertido/-a;lustig
trabajador/a;fleißig
constante;ausdauernd, beständig
el apunte;Aufschrieb
perfecto/-a;perfekt 
organizado/-a;ordentlich, strukturiert, systematisch
el aspecto ;Aussehen
el carácter ;Charakter
gordo/-a;dick
el adjetivo;Adiektiv
los dos;beide
un poco;ein wenig
me encanta;es gefällt mir sehr
encantar;begeistern
me gusta;mir gefällt, ich mag 
gustar;gefallen 
me aburre;mich langweilt 
aburrir;langweilen 
público/-a;öffentlich
¿Te gusta hablar...?;Sprichst du gerne ...?
¿Te interesan...?;Interessieren dich ...?
interesar ;interessieren
la explicación ;Erklärung
el /la experto/-a ;Experte/-in
una vez a la semana ;einmal in der Woche
la vez (pl veces);Mal 
visitar ;besuchen, besichtigen
el museo ;Museum
el /la artista ;Künstler/in
que;der / die / das (Relativpro-nomen)
nos;uns
particular;besonders, eigene/r/s 
el punto de vista;Betrachtungsweise, Standpunkt
te aburren;dich langweilen
mismo/-a;derselbe/dieselbe / dasselbe
la ruta;Route, Weg
la respuesta ;Antwort
y mucho;und zwar sehr
descubrir;entdecken
la imagen;Bild 
impactante;beeindruckend, umwerfend 
fotografiar ;fotografieren 
el efecto;Wirkung, Effekt
la cámara;Kamera 
además;außerdem
la tapa;Appetithäppchen 
me interesa;mich interessiert
(a él) le ;ihm
(a ella) le;ihr
el cine;Kino
francés/-esa;französisch
la fotografía;Fotografie
la cosa;Sache
(a mí) me;mir
(a ti) te;dir
(a usted) le;Ihnen (Singular)
(a nosotros/-as) nos;uns
(a vosotros/-as) os;euch
(a ellos / ellas /ustedes) les;ihnen, Ihnen
Perú;Peru
Cuba ;Kuba
la moda ;Mode
la comida asiática;asiatisches Essen
el videojuego;Videospiel, Computerspiel
el fútbol ;Fußball
el arte moderno;moderne Kunst
casi nada;kaum
ver;(an)sehen
la película ;Film 
en versión original;in Originalversion
el / la nativo/-a ;Muttersprachler/in
la radio;Radio
la gramática;Grammatik
el ejercicio;Übung
el /la Internet;Internet 
¿Con quién?;mit wem?
¿Por qué? ;Warum?
la dificultad ;Schwierigkeit
la lengua materna ;Muttersprache
la forma de aprender;Lernmethode, Art und Weise zu lernen 
fácil ;leicht, einfach
mechón/-ona (Chile);Erstsemester-Studenten
el lunes;Montag
la comparsa ;Karnevalstruppe
la organización;Organisation 
abierto/-a;geöffnet, offen 
gratis;gratis, umsonst
el concierto ;Konzert
el martes;Dienstag
el anfiteatro;Amphitheater, Hörsaal
la danza;Tanz
la compañía;Ensemble, Truppe
el foro;Forum
la convivencia;Zusammenleben 
según ;gemäß, nach 
el gobierno ;Regierung, Herrschaft 
el circuito ;Rundfahrt, Kreislauf
la memoria ;Gedächtnis, Erinnerung
la inscripción;Anmeldung, Einschreibung 
la charla;(zwanglose) Unterhaltung, Vortrag
la mecánica;Mechanik
básico/-a;grundlegend
aprende (inf: aprender);lerne
reparar ;reparieren
la mantención ;Instandhaltung, Erhalt 
de calidad ;hochwertig
trae (inf: traer);bring
traer (yo traigo);bringen
la cleta (Chile);Fahrrad
el kiosko;Kiosk
rojo/-a ;rot
el hall (LA);(Eingangs-)Halle
el juego ;Spiel
deportivo/-a ;Sport-
el carrete (Chile);Feier, Party 
estar a los pies de... ;am Fuße von .. 
estar (yo estoy);liegen sein, sich befinden
el pie ;Fuß
los Andes;Anden
el área metropolitana ;(Haupt-)Stadtgebiet
el Gran Santiago;Großraum von Santiago
gran(de);groß
el/la habitante;Einwohner 
tercero/-a;dritte/r/s
la ciudad más segura;die sicherste Stadt
esquiar;Ski fahren
el instituto;Institut
saludar;(be) grüßen
invitar;einladen
ser (yo soy) parte de;Teil sein von, zu etw. gehören
la comunidad universitaria;Hochschulgemeinschaft
durante;während
recién;soeben, neu, frisch 
ingresado/-a;eintreten
la oportunidad;Gelegenheit 
conocer (zc);kennen lernen
cultural;kulturell
ofrecer (zc);(an)bieten
la visita guiada;Führung
el tema;Thema
interesante;interessant
la vida universitaria;Universitätsleben
el curso de formación;Trainingskurs, Schulung, Ausbildungslehrgang
la formación;Aus-, Fortbildung 
extraescolar;außerschulisch
el centro de estudiantes;Studentenwerk
recreativo/-a;unterhaltsam, entspannend
